378300,skip,382400
477600,skip,499800
749900,mute,750900
789600,mute,790700
1060500,mute,1061700
1402000,mute,1403000
1488200,mute,1489200
1708000,mute,1709000
2163500,skip,2174400
4119000,skip,4139700
4549000,mute,4549900
4561500,mute,4562500
5124200,skip,5127200
5207800,mute,5209800
5440500,skip,5452700
5847100,mute,5848600
6317000,skip,6319100
6325200,skip,6332200
6551500,skip,6559500
6726100,mute,6727700
6768800,mute,6769900
6820100,skip,6821900
6958600,skip,6963500
7011200,skip,7017000
7042500,skip,7048600
7080000,mute,7081800
7377500,skip,7388900
