500400,skip,505200
634500,mute,638600
642000,mute,642900
647500,mute,649200
816200,mute,817500
852000,mute,857400
864500,mute,868700
944000,mute,946000
1060800,mute,1064000
1193200,mute,1195200
1198500,mute,1200400
1227100,mute,1229100
1311600,skip,1395700
1462400,mute,1465800
1562100,mute,1564000
1568000,mute,1570300
2156100,mute,2158500
2187700,mute,2189200
2200800,mute,2202900
2355000,mute,2356900
2409500,mute,2410800
2531500,mute,2533100
2868200,mute,2870300
2893100,mute,2894100
2896500,mute,2898500
3351300,mute,3354100
3368400,mute,3371100
3417700,mute,3419300
3443700,skip,3465500
3535500,mute,3536900
3940600,mute,3942600
3964800,mute,3966100
3974000,mute,3974800
4021700,mute,4024100
4259700,mute,4261200
4494500,mute,4497200
4522000,mute,4524000
4532000,mute,4534000
4600700,mute,4603800
4604200,mute,4605500
4663100,mute,4665400
4681700,mute,4683400
4853900,mute,4855600
4891500,mute,4893600
5059300,mute,5066500
5232100,mute,5233400
5280300,mute,5282200
5337700,mute,5339300
5341000,mute,5342900
5386600,mute,5389000
5513400,mute,5516800
5531100,mute,5533900
5625200,mute,5627100
